,node,betweenness_unweighted,betweenness_weighted,in_degree,out_degree
189,0c1c99511849fdbf,0.0,0.0,0,1
190,0c3e67d45225c6ed,0.0,0.0,0,1
191,0c4d7e8267af147b,0.0,0.0,0,1
192,0c6e1b8a907d5bf8,0.0,0.0,0,1
193,0c73c6fa6326a945,0.0,0.0,0,1
194,0c762b004f05e3fe,0.0,0.0,0,1
195,0c89658c1126066a,0.0,0.0,0,1
196,0cad5e4dca530309,0.0,0.0,0,1
197,0cb204fa5b76c810,0.0,0.0,0,1
198,0cb71e728316c078,0.0,0.0,0,1
199,0cd55882ec0ea231,0.0,0.0,0,1
200,0ce10b85f953f525,0.0,0.0,0,1
201,0d10a628d4a7947c,0.0,0.0,0,1
202,0d13cef59bde9ab7,0.0,0.0,0,1
203,0d28569ce6a1e69b,0.0,0.0,0,1
204,0d3bd221c95b3e1c,0.0,0.0,0,1
205,0d4f6de292d6a799,0.0,0.0,0,1
206,0d59c573652f1438,0.0,0.0,0,1
207,0d5ced281839c229,0.0,0.0,0,1
208,0d7053021e449995,0.0,0.0,0,1
209,0d8616cf3660499b,0.0,0.0,0,1
210,0dad66f3d363d84f,0.0,0.0,0,1
211,0db07a348d6b3280,0.0,0.0,0,1
212,0db8029bc047b131,0.0,0.0,0,1
213,0ddbf9a27b5828ad,0.0,0.0,0,1
214,0de5dc6ebbbc855c,0.0,0.0,0,1
215,0df340067184953b,0.0,0.0,0,1
216,0e1eeaa25af93007,0.0,0.0,0,1
217,0e28f4363c78be49,0.0,0.0,0,1
218,0e2d2d30cc4a7869,0.0,0.0,0,1
219,0e4c9831dcee348e,0.0,0.0,0,1
220,0ea54dd9c173bfbd,0.0,0.0,0,1
221,0ec67b1cb03feefe,0.0,0.0,0,1
222,0efdd5d84c236383,0.0,0.0,0,1
223,0f02455ff76ed0a8,0.0,0.0,0,1
224,0f0dc8b61e1c7f9e,0.0,0.0,0,1
225,0f39222ba80ae343,0.0,0.0,0,1
226,0f46ab4fb3f19449,0.0,0.0,0,1
227,0f4cca5af3ebda01,0.0,0.0,0,1
228,0f659cb85de0fb99,0.0,0.0,0,1
229,0f669d6bd6dbd065,0.0,0.0,0,1
230,0f737559242790bd,0.0,0.0,0,1
231,0f8ed530bfc69589,0.0,0.0,0,1
232,0f9143356263f273,0.0,0.0,0,1
233,0fa356f3f5cad7cd,0.0,0.0,0,1
234,0fa43c1a7a2ae94c,0.0,0.0,0,1
235,0fd2538c64bd0f27,0.0,0.0,0,1
236,0fed4eba4001a2c2,0.0,0.0,0,1
237,0fee8286c0b40002,0.0,0.0,0,1
238,0ff468f5b2369c58,0.0,0.0,0,1
239,0ff6d053653b20ad,0.0,0.0,0,1
240,10048aa875e4f6ba,0.0,0.0,0,1
241,102eed8a01d6595a,0.0,0.0,0,1
242,1033e4603d93fb02,0.0,0.0,0,1
243,10347a9c56fa2def,0.0,0.0,0,1
244,105026b92076c40f,0.0,0.0,0,1
245,105effceb628a29c,0.0,0.0,0,1
246,10623e64af681ed3,0.0,0.0,0,1
247,1097a3bba6960c13,0.0,0.0,0,1
