,mount_point,b_id,start_time,end_time,dur,size,count,ts,te
202,/sys,145919,6372709,6538217,21934,7688,712,6.372709,6.538217
203,/sys,153858,49513957,49530343,3010,3432,416,49.513957,49.530343
204,/sys,154332,49513353,49529406,2954,3432,416,49.513353,49.529406
205,/sys,154413,44157281,44646607,1065167,403280,8432,44.157281,44.646607
206,/sys,167469,44098306,44594978,1068775,403280,8432,44.098306,44.594978
207,/sys,168748,44196990,44675225,1036484,403280,8432,44.19699,44.675225
208,/sys,172046,6038967,6118475,370,928,88,6.038967,6.118475
209,/sys,172153,6336705,6496829,22359,7688,712,6.336705,6.496829
210,/sys,181784,49513637,49529136,2947,3432,416,49.513637,49.529136
211,/sys,198938,49513618,49529886,2994,3432,416,49.513618,49.529886
212,/sys,208895,49513827,49530084,2962,3432,416,49.513827,49.530084
213,/sys,210231,44073939,44531175,914129,403280,8432,44.073939,44.531175
214,/sys,221535,6041314,6127265,352,928,88,6.041314,6.127265
215,/sys,221642,6344700,6512200,21222,7688,712,6.3447,6.5122
216,/sys,224258,5851400,5971793,351,928,88,5.8514,5.971793
217,/sys,224365,6162893,6299871,17998,2304,136,6.162893,6.299871
218,/sys,240614,5977362,6056368,392,928,88,5.977362,6.056368
219,/sys,243566,6836359,6877286,3373,5384,576,6.836359,6.877286
220,/sys,247581,6036167,6123733,353,928,88,6.036167,6.123733
221,/sys,247688,6327277,6429762,21374,2304,136,6.327277,6.429762
222,/sys,247833,6779349,6820259,3391,5384,576,6.779349,6.820259
223,/sys,248162,6247043,6418557,22013,7688,712,6.247043,6.418557
224,/sys,250503,6033031,6121198,337,928,88,6.033031,6.121198
225,/sys,250610,6329439,6427613,20295,2304,136,6.329439,6.427613
226,/sys,251831,6265222,6426556,22271,7688,712,6.265222,6.426556
227,/sys,256623,44140905,44633377,1075178,403280,8432,44.140905,44.633377
228,/sys,267413,6781707,6822414,3358,5384,576,6.781707,6.822414
229,/sys,285954,44067300,44537189,994605,403270,8428,44.0673,44.537189
230,/sys,295827,49513831,49529537,2966,3432,416,49.513831,49.529537
231,/sys,300172,6853496,6895484,3338,5384,576,6.853496,6.895484
232,/sys,310989,49513589,49529553,3033,3432,416,49.513589,49.529553
233,/sys,312000,44186534,44669451,1082992,403280,8432,44.186534,44.669451
234,/sys,322099,49513319,49529592,2931,3432,416,49.513319,49.529592
235,/sys,330104,5942466,6018279,361,928,88,5.942466,6.018279
236,/sys,333773,5971659,6058668,348,928,88,5.971659,6.058668
237,/sys,341206,49513522,49530001,2966,3432,416,49.513522,49.530001
238,/sys,357562,5980923,6078818,356,928,88,5.980923,6.078818
239,/sys,357669,6271953,6385791,19223,2304,136,6.271953,6.385791
240,/sys,360760,44114951,44603612,1071865,403280,8432,44.114951,44.603612
241,/sys,366716,49513786,49529972,3030,3432,416,49.513786,49.529972
242,/sys,371920,44151299,44641099,1080713,403280,8432,44.151299,44.641099
243,/sys,378642,6622341,6662473,3353,5384,576,6.622341,6.662473
244,/sys,382076,6376977,6477179,19078,2304,136,6.376977,6.477179
245,/sys,389785,44138806,44629748,1058818,403280,8432,44.138806,44.629748
246,/sys,395741,49513998,49530228,2959,3432,416,49.513998,49.530228
247,/sys,396976,44111015,44599446,1061346,403280,8432,44.111015,44.599446
248,/sys,397924,49514041,49530219,2945,3432,416,49.514041,49.530219
249,/sys,398192,44171411,44666003,1010085,403280,8432,44.171411,44.666003
250,/sys,402932,49513883,49530376,2981,3432,416,49.513883,49.530376
251,/sys,418193,6069134,6145343,347,928,88,6.069134,6.145343
252,/sys,437641,6068157,6149687,374,928,88,6.068157,6.149687
253,/usr/WS2,15047,44848329,48442734,886802,97968384,15360,44.848329,48.442734
254,/usr/WS2,25148,18155992,18648601,1903859,139468160,12544,18.155992,18.648601
255,/usr/WS2,39588,37925020,37936784,34642,235264,256,37.92502,37.936784
256,/usr/WS2,40899,37366396,37679142,195213,25689216,2816,37.366396,37.679142
257,/usr/WS2,66815,22977471,23097463,109130,7028608,512,22.977471,23.097463
258,/usr/WS2,99153,30000004,30015387,2432,375644,1136,30.000004,30.015387
259,/usr/WS2,126192,2173789,2197154,87611,8489984,1408,2.173789,2.197154
260,/usr/WS2,137501,20707525,20711317,177954,9219840,384,20.707525,20.711317
261,/usr/WS2,146640,23708639,23717631,41368,651264,256,23.708639,23.717631
262,/usr/WS2,159895,35472693,35572286,345481,38221440,3200,35.472693,35.572286
263,/usr/WS2,162849,35713963,35718116,110622,10962944,640,35.713963,35.718116
264,/usr/WS2,163816,37166375,37183246,234232,18972416,1152,37.166375,37.183246
265,/usr/WS2,164017,43937493,43974429,119571,1673472,768,43.937493,43.974429
266,/usr/WS2,169062,21204299,21217937,98395,2531456,256,21.204299,21.217937
267,/usr/WS2,190971,29819326,30000003,276196,1342116,7568,29.819326,30.000003
268,/usr/WS2,210292,122046,219649,29872,67840,1024,0.122046,0.219649
269,/usr/WS2,277841,19085042,19908314,3722337,202442112,19328,19.085042,19.908314
270,/usr/WS2,280334,20175376,20333767,646285,54215680,4864,20.175376,20.333767
271,/usr/WS2,295977,1289444,1308076,2114867,3928704,256,1.289444,1.308076
272,/usr/WS2,309909,23987663,23991691,60926,2237184,256,23.987663,23.991691
273,/usr/WS2,344867,26324053,26328601,639,231552,256,26.324053,26.328601
274,/usr/WS2,358579,29394051,29634696,98078,856448,896,29.394051,29.634696
275,/usr/WS2,378191,35001512,35030219,592507,26885120,2816,35.001512,35.030219
276,/usr/share,81918,2552417,2559934,37123,16256,128,2.552417,2.559934
277,/usr/tce,142102,3749236,3766427,1417,397696,256,3.749236,3.766427
278,/usr/workspace,39402,37840711,37887961,25,1213,4,37.840711,37.887961
279,/usr/workspace,39756,43919163,43979900,392,931,5,43.919163,43.9799
280,/usr/workspace,45692,47605734,47605746,12,188,1,47.605734,47.605746
281,/usr/workspace,45693,47882362,47882980,18,481,3,47.882362,47.88298
282,/usr/workspace,45705,48536162,48547691,63,2812,16,48.536162,48.547691
283,/usr/workspace,45748,49386181,49419425,510,1860,262,49.386181,49.419425
