,Node,InDegree,OutDegree,BetweennessCentrality,DegreeCentrality,Type
40382,p_1779700,7,2,39255.6859243899,0.00021934634788330773,process
40383,p_2979342,156,0,0.0,0.0038020033633106676,process
40384,p_2677587,4,2,210636.67900623975,0.00014623089858887184,process
40385,p_2974891,7,2,241715.5431893037,0.00021934634788330773,process
40386,p_1780330,7,2,38839.42566794004,0.00021934634788330773,process
40387,p_1408401,1,0,0.0,2.4371816431478637e-05,process
40388,p_1777575,3,2,19501.829788927713,0.00012185908215739318,process
40389,p_2681768,5,2,380692.28838855645,0.00017060271502035047,process
40390,p_1411384,3,2,25760.38881750185,0.00012185908215739318,process
40391,p_2975594,1,0,0.0,2.4371816431478637e-05,process
40392,p_2678668,7,2,39993.52484892843,0.00021934634788330773,process
40393,p_1778246,3,2,91115.27399238621,0.00012185908215739318,process
40394,p_2978365,176,0,0.0,0.00428943969194024,process
40395,p_1409637,7,2,38851.307012011894,0.00021934634788330773,process
40396,p_2972785,143,0,0.0,0.0034851697497014452,process
40397,p_2679440,1,0,0.0,2.4371816431478637e-05,process
40398,p_1781945,3,2,29147.15830464108,0.00012185908215739318,process
40399,p_2681258,7,2,120832.99087928515,0.00021934634788330773,process
40400,p_1413089,1,0,0.0,2.4371816431478637e-05,process
40401,p_1778536,1,0,0.0,2.4371816431478637e-05,process
40402,p_1411578,140,0,0.0,0.003412054300407009,process
40403,p_2976440,1,0,0.0,2.4371816431478637e-05,process
40404,p_2974180,1,0,0.0,2.4371816431478637e-05,process
40405,p_1778507,182,0,0.0,0.004435670590529112,process
40406,p_1413708,7,2,99650.54909596722,0.00021934634788330773,process
40407,p_1409417,145,0,0.0,0.0035339133825644025,process
40408,p_1412201,5,2,63439.38197433078,0.00017060271502035047,process
40409,p_1408032,1,0,0.0,2.4371816431478637e-05,process
40410,p_2677365,138,0,0.0,0.003363310667544052,process
40411,p_2975418,156,0,0.0,0.0038020033633106676,process
40412,p_2976962,7,2,51821.84435320684,0.00021934634788330773,process
40413,p_2678054,1,0,0.0,2.4371816431478637e-05,process
40414,p_2675115,7,2,142864.54553010504,0.00021934634788330773,process
40415,p_2977467,1,0,0.0,2.4371816431478637e-05,process
40416,p_1408430,142,0,0.0,0.0034607979332699663,process
40417,p_1781535,1,0,0.0,2.4371816431478637e-05,process
40418,p_2677767,1,0,0.0,2.4371816431478637e-05,process
40419,p_1407832,1,0,0.0,2.4371816431478637e-05,process
40420,p_1406519,178,3,468672.5669228137,0.004411298774097633,process
40421,p_2974582,163,0,0.0,0.003972606078331018,process
40422,p_1782360,6,1,18366.633521040607,0.00017060271502035047,process
40423,p_1780110,190,0,0.0,0.004630645121980941,process
40424,p_1778105,1,0,0.0,2.4371816431478637e-05,process
40425,p_1412483,1,0,0.0,2.4371816431478637e-05,process
40426,p_1783359,7,2,28428.669297684242,0.00021934634788330773,process
40427,p_2978497,1,0,0.0,2.4371816431478637e-05,process
40428,p_2977895,133,0,0.0,0.0032414515853866586,process
40429,p_1410723,1,0,0.0,2.4371816431478637e-05,process
40430,p_2978136,151,0,0.0,0.003680144281153274,process
40431,p_1781355,1,0,0.0,2.4371816431478637e-05,process
40432,p_2974643,1,0,0.0,2.4371816431478637e-05,process
40433,p_1412742,145,0,0.0,0.0035339133825644025,process
40434,p_2678586,7,2,397141.53373867326,0.00021934634788330773,process
40435,p_2679402,7,2,33265.643698132255,0.00021934634788330773,process
40436,p_2680223,1,0,0.0,2.4371816431478637e-05,process
40437,p_1783728,1,0,0.0,2.4371816431478637e-05,process
40438,p_2978534,1,0,0.0,2.4371816431478637e-05,process
40439,p_1409958,1,0,0.0,2.4371816431478637e-05,process
40440,p_1408652,1,0,0.0,2.4371816431478637e-05,process
40441,p_2978128,154,0,0.0,0.0037532597304477102,process
40442,p_1782981,1,0,0.0,2.4371816431478637e-05,process
40443,p_1411515,7,2,40160.042699554586,0.00021934634788330773,process
40444,p_2977219,1,0,0.0,2.4371816431478637e-05,process
40445,p_2977598,7,2,37359.831167809694,0.00021934634788330773,process
40446,p_2979601,5,2,97784.51459566917,0.00017060271502035047,process
40447,p_1410310,1,0,0.0,2.4371816431478637e-05,process
40448,p_2977425,7,2,105742.93349187943,0.00021934634788330773,process
40449,p_2675358,7,2,53312.505485196154,0.00021934634788330773,process
40450,p_1411329,1,0,0.0,2.4371816431478637e-05,process
